"","X1","Participant","Session","Delay","Environment","Block","Trial","TwoDTrial","Visible","TrialTime","RewardY","RewardX","RewardFound","RewardType"
"1",7395,10,"Train","Short",3,3,1,0,1,5.865922,NA,NA,1,"F"
"2",8962,10,"Train","Short",3,3,2,0,0,40.23677,NA,NA,1,"NoReward"
"3",9585,10,"Train","Short",3,4,2,0,1,5.882596,NA,NA,1,"F"
"4",10395,10,"Train","Short",3,4,3,0,1,7.661397,NA,NA,1,"F"
"5",10712,10,"Train","Short",3,4,4,0,1,8.464849,NA,NA,1,"F"
"6",11472,10,"Train","Short",3,4,5,0,1,8.954123,NA,NA,1,"F"
"7",11644,10,"Train","Short",3,4,6,0,1,4.612284,NA,NA,1,"F"
"8",12776,10,"Train","Short",3,4,8,0,1,5.283142,NA,NA,1,"F"
"9",13785,10,"Train","Short",3,4,10,0,1,3.81857,NA,NA,1,"F"
"10",14233,10,"Train","Short",3,4,11,0,1,3.215786,NA,NA,1,"F"
"11",14442,10,"Train","Short",3,4,12,0,1,5.439024,NA,NA,1,"F"
"12",14914,10,"Train","Short",3,5,1,0,0,5.531752,NA,NA,1,"F"
"13",15187,10,"Train","Short",3,5,2,0,0,7.3268,NA,NA,1,"F"
"14",16525,10,"Train","Short",3,5,5,0,0,5.762174,NA,NA,1,"F"
"15",16671,10,"Train","Short",3,5,6,0,0,3.891911,NA,NA,1,"F"
"16",17002,10,"Train","Short",3,5,7,0,0,8.755412,NA,NA,1,"F"
"17",17426,10,"Train","Short",3,5,8,0,0,11.10677,NA,NA,1,"F"
"18",17641,10,"Train","Short",3,5,9,0,0,5.31672,NA,NA,1,"F"
"19",19147,10,"Train","Short",3,5,12,0,0,8.74917,NA,NA,1,"F"
"20",19322,10,"Train","Short",3,5,13,0,0,4.614987,NA,NA,1,"F"
"21",20129,10,"Train","Short",3,5,15,0,0,6.349794,NA,NA,1,"F"
"22",20466,10,"Train","Short",3,6,1,0,1,8.391423,NA,NA,1,"W"
"23",20740,10,"Train","Short",3,6,2,0,1,6.55645,NA,NA,1,"W"
"24",21300,10,"Train","Short",3,6,3,0,1,3.880291,NA,NA,1,"W"
"25",21549,10,"Train","Short",3,6,4,0,1,6.599291,NA,NA,1,"W"
"26",22120,10,"Train","Short",3,6,5,0,1,5.811502,NA,NA,1,"W"
"27",22429,10,"Train","Short",3,6,6,0,1,8.095628,NA,NA,1,"W"
"28",22919,10,"Train","Short",3,6,7,0,1,4.820234,NA,NA,1,"W"
"29",23160,10,"Train","Short",3,6,8,0,1,5.901307,NA,NA,1,"W"
"30",23563,10,"Train","Short",3,6,9,0,1,3.548553,NA,NA,1,"W"
"31",23713,10,"Train","Short",3,6,10,0,1,3.595315,NA,NA,1,"W"
"32",24346,10,"Train","Short",3,6,11,0,1,7.75661,NA,NA,1,"W"
"33",24578,10,"Train","Short",3,6,12,0,1,6.186172,NA,NA,1,"W"
"34",26564,10,"Train","Short",3,7,3,0,0,12.11095,NA,NA,1,"W"
"35",26936,10,"Train","Short",3,7,4,0,0,9.100137,NA,NA,1,"W"
"36",27112,10,"Train","Short",3,7,5,0,0,4.625526,NA,NA,1,"W"
"37",27458,10,"Train","Short",3,7,6,0,0,9.381951,NA,NA,1,"W"
"38",28538,10,"Train","Short",3,7,8,0,0,13.10899,NA,NA,1,"W"
"39",29308,10,"Train","Short",3,7,10,0,0,3.962477,NA,NA,1,"W"
"40",29737,10,"Train","Short",3,7,11,0,0,11.0175,NA,NA,1,"W"
"41",29867,10,"Train","Short",3,7,12,0,0,3.066811,NA,NA,1,"W"
"42",31629,10,"Train","Short",3,7,15,0,0,14.89835,NA,NA,1,"W"
"43",31963,10,"Train","Short",3,8,1,0,1,8.426723,NA,NA,1,"M"
"44",32204,10,"Train","Short",3,8,2,0,1,6.077637,NA,NA,1,"M"
"45",32623,10,"Train","Short",3,8,3,0,1,4.378215,NA,NA,1,"M"
"46",32845,10,"Train","Short",3,8,4,0,1,5.828123,NA,NA,1,"M"
"47",33423,10,"Train","Short",3,8,5,0,1,8.244815,NA,NA,1,"M"
"48",33762,10,"Train","Short",3,8,6,0,1,8.649957,NA,NA,1,"M"
"49",34258,10,"Train","Short",3,8,7,0,1,6.307897,NA,NA,1,"M"
"50",34463,10,"Train","Short",3,8,8,0,1,5.358588,NA,NA,1,"M"
"51",35181,10,"Train","Short",3,8,9,0,1,7.754031,NA,NA,1,"M"
"52",35413,10,"Train","Short",3,8,10,0,1,5.70118,NA,NA,1,"M"
"53",35876,10,"Train","Short",3,8,11,0,1,5.732814,NA,NA,1,"M"
"54",36038,10,"Train","Short",3,8,12,0,1,3.838018,NA,NA,1,"M"
"55",37727,10,"Train","Short",3,9,3,0,0,3.854338,NA,NA,1,"M"
"56",38806,10,"Train","Short",3,9,5,0,0,12.02981,NA,NA,1,"M"
"57",39940,10,"Train","Short",3,9,7,0,0,13.48504,NA,NA,1,"M"
"58",40212,10,"Train","Short",3,9,8,0,0,6.797069,NA,NA,1,"M"
"59",41748,10,"Train","Short",3,9,11,0,0,8.167515,NA,NA,1,"M"
"60",43373,10,"Train","Short",3,9,14,0,0,11.71905,NA,NA,1,"M"
"61",44477,10,"Train","Short",3,10,1,0,0,12.30383,NA,NA,1,"M"
"62",44653,10,"Train","Short",3,10,2,0,1,4.264083,NA,NA,1,"F"
"63",45988,10,"Train","Short",3,10,5,0,1,3.14186,NA,NA,1,"W"
"64",46912,10,"Train","Short",3,10,7,0,0,8.179907,NA,NA,1,"M"
"65",47156,10,"Train","Short",3,10,8,0,1,6.404715,NA,NA,1,"M"
"66",47332,10,"Train","Short",3,10,9,0,0,4.634661,NA,NA,1,"F"
"67",49495,10,"Train","Short",3,10,13,0,0,10.76252,NA,NA,1,"M"
"68",50208,10,"Train","Short",3,10,15,0,0,3.171884,NA,NA,1,"F"
"69",52533,10,"Train","Short",3,10,19,0,0,13.0712,NA,NA,1,"W"
"70",52834,10,"Train","Short",3,10,20,0,0,7.779292,NA,NA,1,"W"
"71",52930,10,"Train","Short",3,10,21,0,0,2.338541,NA,NA,1,"W"
"72",53178,10,"Train","Short",3,10,22,0,0,6.029998,NA,NA,1,"W"
"73",55560,10,"Train","Short",3,10,26,0,0,14.89743,NA,NA,1,"M"
"74",57658,10,"Train","Short",3,10,30,0,0,7.606619,NA,NA,1,"W"
"75",61688,10,"Train","Short",3,10,37,0,0,10.73326,NA,NA,1,"F"
"76",139586,12,"Train","Short",3,3,1,0,1,4.989533,NA,NA,1,"F"
"77",142131,12,"Train","Short",3,3,2,0,0,63.61118,NA,NA,1,"NoReward"
"78",142314,12,"Train","Short",3,4,1,0,1,4.67114,NA,NA,1,"F"
"79",142446,12,"Train","Short",3,4,2,0,1,3.091311,NA,NA,1,"F"
"80",142990,12,"Train","Short",3,4,3,0,1,4.205061,NA,NA,1,"F"
"81",143169,12,"Train","Short",3,4,4,0,1,4.723305,NA,NA,1,"F"
"82",143648,12,"Train","Short",3,4,5,0,1,3.556336,NA,NA,1,"F"
"83",143846,12,"Train","Short",3,4,6,0,1,5.243539,NA,NA,1,"F"
"84",144287,12,"Train","Short",3,4,7,0,1,4.639741,NA,NA,1,"F"
"85",144405,12,"Train","Short",3,4,8,0,1,2.947115,NA,NA,1,"F"
"86",144827,12,"Train","Short",3,4,9,0,1,3.315427,NA,NA,1,"F"
"87",144974,12,"Train","Short",3,4,10,0,1,3.923944,NA,NA,1,"F"
"88",145422,12,"Train","Short",3,4,11,0,1,4.072785,NA,NA,1,"F"
"89",145519,12,"Train","Short",3,4,12,0,1,2.476124,NA,NA,1,"F"
"90",146187,12,"Train","Short",3,5,1,0,0,11.08034,NA,NA,1,"F"
"91",147142,12,"Train","Short",3,5,3,0,0,8.619404,NA,NA,1,"F"
"92",150421,12,"Train","Short",3,5,9,0,0,8.749381,NA,NA,1,"F"
"93",150612,12,"Train","Short",3,5,16,0,0,5.08917,NA,NA,1,"F"
"94",150765,12,"Train","Short",3,5,17,0,0,3.683364,NA,NA,1,"F"
"95",150987,12,"Train","Short",3,5,18,0,0,5.794086,NA,NA,1,"F"
"96",152720,12,"Train","Short",3,5,21,0,0,13.81177,NA,NA,1,"F"
"97",152870,12,"Train","Short",3,6,1,0,1,3.664572,NA,NA,1,"W"
"98",152977,12,"Train","Short",3,6,2,0,1,2.602371,NA,NA,1,"W"
"99",153277,12,"Train","Short",3,6,3,0,1,2.525631,NA,NA,1,"W"
"100",153451,12,"Train","Short",3,6,4,0,1,4.151814,NA,NA,1,"W"
"101",153876,12,"Train","Short",3,6,5,0,1,5.032743,NA,NA,1,"W"
"102",154107,12,"Train","Short",3,6,6,0,1,6.229564,NA,NA,1,"W"
"103",154486,12,"Train","Short",3,6,7,0,1,5.229137,NA,NA,1,"W"
"104",154588,12,"Train","Short",3,6,8,0,1,2.443632,NA,NA,1,"W"
"105",155003,12,"Train","Short",3,6,9,0,1,5.346832,NA,NA,1,"W"
"106",155224,12,"Train","Short",3,6,10,0,1,5.841551,NA,NA,1,"W"
"107",155739,12,"Train","Short",3,6,11,0,1,3.812606,NA,NA,1,"W"
"108",155886,12,"Train","Short",3,6,12,0,1,3.782486,NA,NA,1,"W"
"109",159063,12,"Train","Short",3,7,5,0,0,14.53146,NA,NA,1,"W"
"110",159602,12,"Train","Short",3,7,6,0,0,12.66723,NA,NA,1,"W"
"111",161939,12,"Train","Short",3,7,10,0,0,11.77534,NA,NA,1,"W"
"112",163574,12,"Train","Short",3,7,13,0,0,10.59934,NA,NA,1,"W"
"113",164109,12,"Train","Short",3,7,14,0,0,12.92706,NA,NA,1,"W"
"114",164681,12,"Train","Short",3,7,15,0,0,14.03588,NA,NA,1,"W"
"115",164938,12,"Train","Short",3,8,1,0,1,6.712624,NA,NA,1,"M"
"116",165179,12,"Train","Short",3,8,2,0,1,5.89943,NA,NA,1,"M"
"117",165687,12,"Train","Short",3,8,3,0,1,5.573574,NA,NA,1,"M"
"118",165858,12,"Train","Short",3,8,4,0,1,4.239974,NA,NA,1,"M"
"119",166407,12,"Train","Short",3,8,5,0,1,5.352637,NA,NA,1,"M"
"120",166510,12,"Train","Short",3,8,6,0,1,2.30512,NA,NA,1,"M"
"121",167115,12,"Train","Short",3,8,7,0,1,4.524667,NA,NA,1,"M"
"122",167321,12,"Train","Short",3,8,8,0,1,4.895693,NA,NA,1,"M"
"123",167940,12,"Train","Short",3,8,9,0,1,8.102969,NA,NA,1,"M"
"124",168182,12,"Train","Short",3,8,10,0,1,6.684091,NA,NA,1,"M"
"125",168916,12,"Train","Short",3,8,11,0,1,7.331355,NA,NA,1,"M"
"126",169232,12,"Train","Short",3,8,12,0,1,8.002814,NA,NA,1,"M"
"127",169686,12,"Train","Short",3,9,1,0,0,3.812241,NA,NA,1,"M"
"128",169925,12,"Train","Short",3,9,2,0,0,6.11608,NA,NA,1,"M"
"129",170163,12,"Train","Short",3,9,3,0,0,6.230778,NA,NA,1,"M"
"130",170957,12,"Train","Short",3,9,5,0,0,3.914327,NA,NA,1,"M"
"131",171293,12,"Train","Short",3,9,6,0,0,8.453628,NA,NA,1,"M"
"132",173979,12,"Train","Short",3,9,11,0,0,8.189833,NA,NA,1,"M"
"133",175360,12,"Train","Short",3,9,14,0,0,4.9852,NA,NA,1,"M"
"134",176742,12,"Train","Short",3,10,2,0,1,5.405495,NA,NA,1,"F"
"135",177739,12,"Train","Short",3,10,4,0,0,10.29529,NA,NA,1,"W"
"136",177898,12,"Train","Short",3,10,5,0,1,4.188669,NA,NA,1,"W"
"137",179336,12,"Train","Short",3,10,8,0,1,5.362057,NA,NA,1,"M"
"138",179779,12,"Train","Short",3,10,9,0,0,10.65829,NA,NA,1,"W"
"139",180077,12,"Train","Short",3,10,10,0,0,7.685459,NA,NA,1,"F"
"140",180326,12,"Train","Short",3,10,11,0,0,6.432459,NA,NA,1,"F"
"141",180494,12,"Train","Short",3,10,12,0,0,4.440272,NA,NA,1,"W"
"142",181114,12,"Train","Short",3,10,13,0,0,14.74274,NA,NA,1,"W"
"143",182617,12,"Train","Short",3,10,16,0,0,7.197719,NA,NA,1,"F"
"144",183464,12,"Train","Short",3,10,18,0,0,6.726373,NA,NA,1,"F"
"145",184542,12,"Train","Short",3,10,20,0,0,12.06272,NA,NA,1,"F"
"146",184715,12,"Train","Short",3,10,21,0,0,4.160564,NA,NA,1,"M"
"147",185193,12,"Train","Short",3,10,22,0,0,12.50519,NA,NA,1,"F"
"148",185549,12,"Train","Short",3,10,23,0,0,8.831291,NA,NA,1,"M"
"149",186508,12,"Train","Short",3,10,25,0,0,8.809075,NA,NA,1,"W"
"150",186720,12,"Train","Short",3,10,26,0,0,5.615303,NA,NA,1,"W"
"151",188284,12,"Train","Short",3,10,29,0,0,7.677534,NA,NA,1,"M"
"152",188555,12,"Train","Short",3,10,30,0,0,7.348574,NA,NA,1,"F"
"153",188736,12,"Train","Short",3,10,31,0,0,4.424162,NA,NA,1,"M"
"154",190081,12,"Train","Short",3,10,34,0,0,3.962257,NA,NA,1,"W"
"155",190302,12,"Train","Short",3,10,35,0,0,5.9721,NA,NA,1,"M"
"156",191063,12,"Train","Short",3,10,37,0,0,5.456042,NA,NA,1,"W"
"157",191294,12,"Train","Short",3,10,38,0,0,6.181706,NA,NA,1,"M"
"158",191516,12,"Train","Short",3,10,39,0,0,5.403255,NA,NA,1,"M"
"159",287744,14,"Train","Long",3,3,1,0,1,5.130361,NA,NA,1,"F"
"160",289842,14,"Train","Long",3,3,2,0,0,40.1221,NA,NA,1,"NoReward"
"161",290121,14,"Train","Long",3,4,1,0,1,5.269731,NA,NA,1,"F"
"162",290360,14,"Train","Long",3,4,2,0,1,4.664919,NA,NA,1,"F"
"163",292443,14,"Train","Long",3,4,3,0,1,6.239489,NA,NA,1,"F"
"164",292768,14,"Train","Long",3,4,4,0,1,6.456703,NA,NA,1,"F"
"165",295220,14,"Train","Long",3,4,6,0,1,6.919877,NA,NA,1,"F"
"166",297286,14,"Train","Long",3,4,7,0,1,8.856178,NA,NA,1,"F"
"167",297624,14,"Train","Long",3,4,8,0,1,6.737998,NA,NA,1,"F"
"168",299113,14,"Train","Long",3,4,9,0,1,9.422146,NA,NA,1,"F"
"169",299401,14,"Train","Long",3,4,10,0,1,6.055035,NA,NA,1,"F"
"170",300894,14,"Train","Long",3,4,11,0,1,8.041578,NA,NA,1,"F"
"171",301109,14,"Train","Long",3,4,12,0,1,4.156326,NA,NA,1,"F"
"172",301985,14,"Train","Long",3,5,1,0,0,3.213061,NA,NA,1,"F"
"173",302995,14,"Train","Long",3,5,3,0,0,5.281956,NA,NA,1,"F"
"174",305065,14,"Train","Long",3,5,6,0,0,9.637645,NA,NA,1,"F"
"175",307601,14,"Train","Long",3,5,10,0,0,5.81747,NA,NA,1,"F"
"176",307860,14,"Train","Long",3,5,11,0,0,4.596688,NA,NA,1,"F"
"177",311415,14,"Train","Long",3,6,1,0,1,8.956976,NA,NA,1,"W"
"178",311881,14,"Train","Long",3,6,2,0,1,9.357317,NA,NA,1,"W"
"179",312779,14,"Train","Long",3,6,3,0,1,7.571106,NA,NA,1,"W"
"180",312997,14,"Train","Long",3,6,4,0,1,4.067054,NA,NA,1,"W"
"181",314809,14,"Train","Long",3,6,6,0,1,7.398417,NA,NA,1,"W"
"182",316595,14,"Train","Long",3,6,9,0,1,8.369425,NA,NA,1,"W"
"183",316900,14,"Train","Long",3,6,10,0,1,6.319465,NA,NA,1,"W"
